Sample	posterior	ESS(posterior)	likelihood	prior
0	-17982.822830604477	N	-17978.056961656435	-4.7658689480424
1000	-11204.906393895684	2.0	-11200.528204110864	-4.378189784820114
2000	-11201.79958970374	3.0	-11197.12860670199	-4.67098300175072
3000	-11205.955912894635	4.0	-11200.8739904824	-5.081922412235002
4000	-11204.647874442137	5.0	-11200.53250895723	-4.115365484905338
5000	-11204.331450148327	6.0	-11200.223086204109	-4.108363944218706
6000	-11202.89028151857	7.0	-11199.04214833274	-3.8481331858287007
7000	-11203.259701073535	8.0	-11199.021106700131	-4.238594373404029
8000	-11204.229494166226	9.0	-11200.361731831306	-3.867762334919428
9000	-11204.25976323396	9.0	-11199.089914315882	-5.169848918078852
10000	-11202.821585869922	10.0	-11198.965084632628	-3.856501237294568
11000	-11201.911310721767	11.0	-11198.162579574975	-3.7487311467920517
12000	-11201.896025992417	10.3	-11197.652615318932	-4.243410673485865
13000	-11201.820450329296	7.5	-11197.436040773102	-4.3844095561950915
14000	-11206.111699088859	14.0	-11201.595300880215	-4.516398208644015
15000	-11202.537787684403	15.0	-11197.955824280785	-4.581963403617622
16000	-11204.04997271408	16.0	-11198.948824945383	-5.10114776869689
17000	-11204.256963683883	17.0	-11199.533803308896	-4.723160374988161
18000	-11203.631071721808	18.0	-11199.449454632608	-4.181617089199155
19000	-11202.898885949684	18.0	-11198.60577037601	-4.293115573673571
20000	-11204.335645617282	19.0	-11200.086500703543	-4.249144913740243
21000	-11200.031622280934	20.0	-11196.168966266156	-3.8626560147787643
22000	-11205.83260193805	21.0	-11201.869594603111	-3.963007334937987
23000	-11203.340124334507	22.0	-11199.291096152258	-4.049028182250228
24000	-11201.18485843136	23.0	-11196.909138393685	-4.275720037673944
25000	-11204.75079387956	24.0	-11200.909431465216	-3.841362414345384
26000	-11202.365352341409	25.0	-11197.827314354498	-4.538037986910853
27000	-11204.632898302723	26.0	-11200.231255943756	-4.401642358967823
28000	-11203.200049195462	27.0	-11199.078735390842	-4.121313804620627
29000	-11204.981627062114	27.0	-11199.996050279497	-4.985576782617766
30000	-11203.461100130826	28.0	-11198.84024820791	-4.62085192291754
31000	-11204.694460189217	29.0	-11199.9393934748	-4.755066714416872
32000	-11204.85490151916	30.0	-11199.168746339754	-5.686155179405996
33000	-11205.234764105911	31.0	-11199.609746760016	-5.625017345895737
34000	-11202.752940215269	32.0	-11198.757499878657	-3.995440336612309
35000	-11203.260569498985	33.0	-11198.91220514328	-4.348364355704692
36000	-11205.881151476191	34.0	-11201.79693299386	-4.084218482329766
37000	-11202.754483385885	35.0	-11198.828945829295	-3.925537556590123
38000	-11203.312904690709	36.0	-11197.473874520114	-5.839030170594019
39000	-11201.72852962295	36.0	-11197.163955127531	-4.564574495418988
40000	-11203.313091658927	37.0	-11199.53703614266	-3.776055516267751
41000	-11202.652601185324	38.0	-11197.625548848406	-5.0270523369186755
42000	-11207.574782741427	39.0	-11202.379402963137	-5.1953797782895705
43000	-11203.893329600565	40.0	-11200.182669877446	-3.710659723119459
44000	-11208.474341248655	35.7	-11204.069819142464	-4.404522106190765
45000	-11203.595374549557	37.1	-11198.796379483534	-4.798995066022144
46000	-11202.589164445342	41.9	-11198.51567883536	-4.073485609982958
47000	-11202.905309420337	42.1	-11199.059955865549	-3.845353554788871
48000	-11210.18131426113	45.0	-11204.603489903078	-5.577824358051886
49000	-11203.663324703963	45.0	-11199.708206373352	-3.955118330610664
50000	-11202.500492549008	46.0	-11198.599376028485	-3.9011165205221783
51000	-11206.112806540883	47.0	-11201.797615339057	-4.3151912018258365
52000	-11201.248725895888	48.0	-11197.275944322117	-3.972781573772294
53000	-11204.393500842092	49.0	-11199.816271932672	-4.577228909421006
54000	-11201.678184378368	50.0	-11197.5577260602	-4.120458318168322
55000	-11202.73044794719	51.0	-11198.762973663892	-3.967474283297869
56000	-11203.444304304558	52.0	-11199.637854469836	-3.8064498347220805
57000	-11204.801249974576	53.0	-11199.50861957523	-5.292630399346214
58000	-11201.089701961799	54.0	-11196.452875175575	-4.636826786222786
59000	-11206.327060877727	54.0	-11202.330337593881	-3.9967232838466202
60000	-11202.98669153357	55.0	-11197.889623582862	-5.097067950709013
61000	-11208.737383737118	56.0	-11204.199370838263	-4.538012898853662
62000	-11202.1242503512	57.0	-11198.12712145548	-3.9971288957203406
63000	-11201.181657574509	58.0	-11197.008530763283	-4.173126811224487
64000	-11204.535006326769	59.0	-11200.544083377225	-3.9909229495445198
65000	-11200.169426866178	60.0	-11196.170297614914	-3.9991292512632874
66000	-11201.76566468518	61.0	-11197.362396888686	-4.40326779649275
67000	-11202.809299012813	62.0	-11198.765888542517	-4.043410470295607
68000	-11200.635847557242	63.0	-11196.359834914318	-4.2760126429245675
69000	-11201.960907070055	63.0	-11197.554476300209	-4.40643076984661
70000	-11204.01111307822	64.0	-11199.128001336278	-4.8831117419434795
71000	-11204.236023215262	65.0	-11200.726568639207	-3.5094545760539555
72000	-11201.545624845912	66.0	-11197.597645655938	-3.947979189973978
73000	-11201.734388751871	67.0	-11196.380303501635	-5.354085250234895
74000	-11206.04502660849	68.0	-11200.327088245376	-5.71793836311317
75000	-11205.36944176418	69.0	-11200.801648069068	-4.56779369511226
76000	-11204.035231643224	70.0	-11200.213168918901	-3.822062724321784
77000	-11203.329312859229	71.0	-11199.22533752198	-4.10397533724785
78000	-11205.800042284338	72.0	-11200.948880961292	-4.851161323046335
79000	-11202.529986816398	72.0	-11198.65831701434	-3.8716698020583347
80000	-11204.039853570666	73.0	-11199.634067963132	-4.405785607533883
81000	-11203.030166786151	74.0	-11198.536703649119	-4.49346313703297
82000	-11207.114052024363	75.0	-11202.987490261026	-4.126561763336243
83000	-11205.15515679935	76.0	-11201.18008658841	-3.9750702109392755
84000	-11205.793361797432	65.5	-11201.68654176158	-4.106820035850722
85000	-11203.670833351694	66.5	-11200.121786320744	-3.549047030951002
86000	-11201.036836600299	79.0	-11197.087306189103	-3.9495304111950036
87000	-11202.229611485114	80.0	-11198.361311128878	-3.8683003562371354
88000	-11201.610104762964	76.8	-11197.53799251804	-4.072112244922641
89000	-11205.884283909656	81.0	-11201.854383487758	-4.029900421897224
90000	-11203.67138886386	82.0	-11199.187454691848	-4.483934172012462
91000	-11205.146812516152	81.5	-11200.40133210672	-4.7454804094328695
92000	-11203.243227770947	82.8	-11198.317927164788	-4.925300606159011
93000	-11207.924087596812	81.2	-11204.081651855271	-3.8424357415408465
94000	-11206.098259396409	76.8	-11200.004104038047	-6.094155358362099
95000	-11204.330113289498	75.9	-11200.02963646567	-4.300476823827928
96000	-11201.660295571904	81.6	-11197.93413144998	-3.726164121925515
97000	-11205.404558118053	80.1	-11201.1243355955	-4.280222522552451
98000	-11204.019748358904	80.8	-11199.705452443315	-4.3142959155886125
99000	-11203.389479593414	79.4	-11199.528260278157	-3.861219315257046
100000	-11205.815861570376	81.0	-11201.534180734412	-4.281680835963159
101000	-11205.380358013042	79.6	-11200.815969069963	-4.564388943078661
102000	-11202.665060673347	82.1	-11198.477329588339	-4.187731085009023
103000	-11201.831701490346	84.8	-11197.432586899813	-4.399114590532463
104000	-11204.921544375538	85.5	-11200.06226042848	-4.859283947057681
105000	-11207.709180543263	87.6	-11203.266920547434	-4.442259995829518
106000	-11203.47546111926	97.0	-11199.198786586028	-4.27667453323213
107000	-11205.445757052375	87.8	-11200.610902457802	-4.8348545945734545
108000	-11205.184348229875	85.2	-11201.152967047385	-4.031381182491263
109000	-11210.088554392343	74.6	-11205.754123435014	-4.334430957329923
110000	-11200.378923950071	100.0	-11196.32272946978	-4.056194480291043
111000	-11206.530465285787	81.6	-11201.151047641411	-5.379417644375115
112000	-11203.87327676038	82.5	-11199.945004487836	-3.928272272544719
113000	-11202.582355438537	103.0	-11198.246119362746	-4.336236075791318
114000	-11203.065345502026	104.0	-11197.946367866582	-5.118977635444246
115000	-11200.535734517758	87.5	-11196.6458594776	-3.8898750401586213
116000	-11202.629071930513	86.1	-11198.57757666142	-4.051495269091724
117000	-11200.692947098067	80.9	-11196.389110920436	-4.303836177630261
118000	-11204.561229601492	83.5	-11198.593862716767	-5.967366884723921
119000	-11203.035207876472	83.5	-11198.683849667892	-4.351358208580238
120000	-11203.415232770734	83.8	-11199.3726839638	-4.042548806934519
121000	-11205.304232277587	86.3	-11199.237038461051	-6.067193816535895
122000	-11205.907185041124	86.7	-11201.946619425547	-3.960565615577078
123000	-11205.854839094483	86.3	-11199.798250811049	-6.056588283434433
124000	-11207.218809041151	83.0	-11201.921684763198	-5.29712427795402
125000	-11206.485242956316	78.5	-11202.092344159602	-4.392898796713116
126000	-11201.92179150518	84.2	-11197.335683358076	-4.5861081471025535
127000	-11203.128603546033	86.2	-11198.941777547177	-4.186825998854687
128000	-11205.079528821629	86.0	-11200.273163931337	-4.806364890290936
129000	-11204.22967522728	86.4	-11199.725010805456	-4.504664421824538
130000	-11205.53821984745	87.9	-11201.072641073435	-4.465578774015869
131000	-11204.39017768738	88.4	-11199.933666026507	-4.45651166087314
132000	-11203.54475661858	89.6	-11199.075960311202	-4.468796307377429
133000	-11202.777736765505	91.0	-11198.496537247103	-4.2811995184016265
134000	-11208.656328925515	92.1	-11204.70105934413	-3.9552695813847407
135000	-11202.970791894162	93.9	-11199.107911241175	-3.862880652986246
136000	-11202.360727494066	95.8	-11198.573572014175	-3.787155479890579
137000	-11206.553698984919	96.1	-11202.766595696754	-3.787103288164155
138000	-11206.056582454103	94.4	-11201.875408073753	-4.1811743803500825
139000	-11201.105223609282	95.5	-11196.773661138954	-4.3315624703281825
140000	-11204.455409330489	96.2	-11200.288561958962	-4.166847371527681
141000	-11201.943221821759	98.5	-11197.955526665937	-3.9876951558219744
142000	-11202.509358659023	98.4	-11196.9898954941	-5.519463164922994
143000	-11206.167081679567	103.2	-11202.26306420481	-3.9040174747578096
144000	-11209.423602816636	106.5	-11204.249846891098	-5.173755925538179
145000	-11205.614552454186	105.5	-11201.523168965592	-4.091383488593645
146000	-11202.899687086321	109.0	-11198.449102381912	-4.450584704408373
147000	-11204.48845432004	108.7	-11200.166375732646	-4.3220785873941665
148000	-11208.092110502737	102.5	-11203.656749097867	-4.43536140486977
149000	-11204.296355315983	101.1	-11199.551507829008	-4.744847486973768
150000	-11203.550159759234	102.3	-11199.380609700409	-4.169550058824543
151000	-11204.352960795606	102.7	-11200.51074800241	-3.8422127931961265
152000	-11205.021595271952	102.5	-11201.0065101635	-4.015085108453273
153000	-11202.813762403224	103.6	-11198.214607134718	-4.599155268506647
154000	-11203.65877191753	104.3	-11199.678216128274	-3.980555789255259
155000	-11206.924993844079	105.7	-11202.487673773794	-4.437320070284043
156000	-11207.008176378597	105.1	-11199.60514461656	-7.403031762035917
157000	-11204.647216658002	105.3	-11199.191358636062	-5.455858021939187
158000	-11206.971741568117	102.1	-11202.773216502537	-4.198525065579134
