"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-11271.7298455626,7.97760213333994,7.26154293699298e-16,7.69129123722407
"2","GTR","relaxed_log_normal","yule",-11246.8328814198,7.11045560624912,0.0000471675211683923,12.2052187082925
"3","GTR","strict","birth_death",-11247.7552390363,7.22711211446945,0.0000187528910212275,12.18267313328
"4","GTR","strict","yule",-11237.144302567,6.72568961515764,0.760920678125584,12.899970583259
"5","HKY","relaxed_log_normal","birth_death",-11247.4998472125,5.9830094343395,0.0000242093700918244,8.47395401809124
"6","HKY","relaxed_log_normal","yule",-11247.8215043172,6.72739418364433,0.0000175505036491622,5.14812672752578
"7","HKY","strict","birth_death",-11243.6835543493,7.13350809282823,0.00109996387282265,7.84082692853938
"8","HKY","strict","yule",-11244.0732832881,7.32624361753433,0.000744939998725459,8.77071721778883
"9","JC69","relaxed_log_normal","birth_death",-11249.3171254143,6.86825024483893,0.00000393323227778869,11.9694518044219
"10","JC69","relaxed_log_normal","yule",-11238.9714728042,6.39536712862749,0.122407896454732,13.0583083925673
"11","JC69","strict","birth_death",-11241.555778421,5.38767476888691,0.00923548624513896,8.3150638200451
"12","TN93","relaxed_log_normal","birth_death",-11244.1259025163,6.16754869010595,0.000706755266527415,12.390505891808
"13","TN93","relaxed_log_normal","yule",-11258.6828820332,6.69166914330039,0.000000000336707799147709,5.39128891512584
"14","TN93","strict","birth_death",-11241.5493802424,7.04625782396523,0.009294765974521,7.77361084992221
"15","TN93","strict","yule",-11239.2199368764,7.44732452902622,0.0954779002070318,10.5507903241822
