#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment_twin" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment_twin" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment_twin" name="distribution" x="@birthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="RateACPrior.s:alignment_twin" name="distribution">
#            <parameter id="rateAC.s:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateAGPrior.s:alignment_twin" name="distribution">
#            <parameter id="rateAG.s:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.core.parameter.RealParameter">20.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:alignment_twin" name="distribution">
#            <parameter id="rateAT.s:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:alignment_twin" name="distribution">
#            <parameter id="rateCG.s:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:alignment_twin" name="distribution">
#            <parameter id="rateGT.s:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.4" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:alignment_twin" rateAC="@rateAC.s:alignment_twin" rateAG="@rateAG.s:alignment_twin" rateAT="@rateAT.s:alignment_twin" rateCG="@rateCG.s:alignment_twin" rateGT="@rateGT.s:alignment_twin" spec="beast.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateCT.s:alignment_twin" lower="0.0" name="rateCT" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:alignment_twin" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:alignment_twin" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment_twin" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	rateAC	rateAG	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate
0	-17998.727530241922	-17978.056961656344	-20.670568585577563	-17978.056961656344	1.7214208032558544	1.0	1.0	1.0	1.0	1.0	0.25	0.25	0.25	0.25	-4.7658689480424	1.0
1000	-11218.900380604231	-11198.003514156899	-20.89686644733319	-11198.003514156899	1.0553513212692445	1.0	1.0	1.0	1.0	1.0	0.25	0.25	0.25	0.25	-4.992166809798027	1.1104469076242662
2000	-11225.026213406576	-11204.302651985017	-20.72356142155905	-11204.302651985017	1.0519034144671489	1.012854640120935	1.0	1.0	1.0	0.8190539805812473	0.2517934883413666	0.25	0.25	0.24820651165863336	-5.013161860058765	2.464180450695604
3000	-11218.891242900576	-11197.234731519171	-21.656511381404584	-11197.234731519171	1.0253933041263312	1.091402919182957	1.0	1.5324581378715476	1.0	1.0886689548201973	0.2517934883413666	0.25169079675849326	0.25	0.2465157149001401	-5.1112305538265375	2.397575606376244
4000	-11214.330778270067	-11192.823517508921	-21.507260761144988	-11192.823517508921	1.0948991634468874	1.1214306065467583	1.0	1.2669807546902816	1.1563753610398284	1.0886689548201973	0.2517934883413666	0.25169079675849326	0.25	0.2465157149001401	-4.98680182190607	2.395662578419075
5000	-11212.327748299622	-11189.860822853394	-22.466925446227286	-11189.860822853394	0.944361792917129	1.2832388753827264	1.1006744796328258	1.2669807546902816	0.9601120947291153	1.0886689548201973	0.2517934883413666	0.25169079675849326	0.25	0.2465157149001401	-5.9024042095784575	0.8245477175158329
6000	-11211.402704779197	-11190.634902739344	-20.76780203985175	-11190.634902739344	0.9847737379521067	1.2832388753827264	1.1006744796328258	1.2669807546902816	0.9601120947291153	1.0886689548201973	0.2517934883413666	0.24287773490918343	0.25881306184930986	0.2465157149001401	-4.203280803202924	1.4872832489022014
7000	-11212.133637056615	-11191.819064381472	-20.314572675142852	-11191.819064381472	0.9566329183535226	1.2832388753827264	1.1006744796328258	1.2669807546902816	0.9601120947291153	1.0886689548201973	0.250642555599413	0.24287773490918343	0.26334753736216104	0.2431321721292425	-3.750051438494025	1.6707322210803524
8000	-11215.153441081156	-11193.676448960838	-21.47699212031853	-11193.676448960838	1.0195788648555124	1.387156129043387	1.1006744796328258	1.2669807546902816	0.9601120947291153	1.117473443944329	0.250642555599413	0.24287773490918343	0.26334753736216104	0.2431321721292425	-4.800414932145619	1.153596317868405
9000	-11212.901993766554	-11191.992002683157	-20.90999108339663	-11191.992002683157	0.9924469771171502	1.387156129043387	1.1006744796328258	1.2669807546902816	0.9601120947291153	1.117473443944329	0.2461396824519763	0.24287773490918343	0.2678504105095978	0.2431321721292425	-4.233413895223719	2.147958898258471
10000	-11214.21600011908	-11193.625893482651	-20.590106636430093	-11193.625893482651	1.0934799037847436	1.387156129043387	0.8703374249402365	1.2669807546902816	0.9601120947291153	0.9956727976257247	0.24967765976632875	0.24287773490918343	0.2678504105095978	0.23959419481489005	-4.269920477406047	1.7185692228751281
11000	-11217.890747018622	-11197.605612673353	-20.285134345269828	-11197.605612673353	1.0216628290031922	1.4417040585450962	0.8703374249402365	1.1798611673649126	0.9601120947291153	0.9956727976257247	0.2467381443054829	0.24262741604341212	0.26468384190530564	0.24595059774579933	-3.999241707467883	1.70190929976698
12000	-11215.808759497755	-11195.54763418456	-20.26112531319492	-11195.54763418456	0.9206548499560026	1.4417040585450962	1.0496500425622566	1.1798611673649126	0.9601120947291153	0.9956727976257247	0.2467381443054829	0.24262741604341212	0.26468384190530564	0.24595059774579933	-3.788302486606936	1.7375570118271295
13000	-11214.5891899416	-11193.1169127401	-21.472277201500024	-11193.1169127401	1.02746553867075	1.4417040585450962	1.0496500425622566	1.1798611673649126	0.9601120947291153	0.9956727976257247	0.2467381443054829	0.24262741604341212	0.26468384190530564	0.24595059774579933	-4.999454374912042	2.657197264499998
14000	-11215.989386010146	-11195.298221661222	-20.691164348924577	-11195.298221661222	1.06473334963904	1.4417040585450962	1.0496500425622566	1.1798611673649126	0.9601120947291153	0.9956727976257247	0.2473936144557459	0.24262741604341212	0.26468384190530564	0.24529512759553634	-4.218341522336592	1.6627314520578185
15000	-11216.876976572981	-11195.585495817026	-21.291480755955927	-11195.585495817026	1.0449421802283518	1.4417040585450962	1.0496500425622566	1.1798611673649126	0.9601120947291153	0.9956727976257247	0.2473936144557459	0.24262741604341212	0.26468384190530564	0.24529512759553634	-4.818657929367944	2.650920123665608
16000	-11218.582296296107	-11198.176544484504	-20.405751811602368	-11198.176544484504	0.9572025218661919	1.4417040585450962	1.0496500425622566	1.1798611673649126	0.9601120947291153	0.9956727976257247	0.24180083471712313	0.2463549384917999	0.2665490991955406	0.24529512759553634	-3.9329289850143834	1.6828435901212424
17000	-11216.19733538314	-11195.320744434634	-20.876590948506866	-11195.320744434634	1.0426566579220022	1.4417040585450962	1.0496500425622566	1.1798611673649126	0.9601120947291153	0.9956727976257247	0.24180083471712313	0.2463549384917999	0.2665490991955406	0.24529512759553634	-4.403768121918884	2.3024441333518224
