Sample	posterior	ESS(posterior)	likelihood	prior	
0	-9650.724631018868	4.5	-9645.736331003152	-4.988300015715192	
1	-9646.233783286161	4.1	-9641.685765486129	-4.548017800032293	
2	-9643.509587038388	4.1	-9639.088021238342	-4.421565800047548	
3	-9643.509587038388	4.1	-9639.088021238342	-4.421565800047548	
4	-9643.509587038388	4.1	-9639.088021238342	-4.421565800047548	
5	-9642.46112971862	4.1	-9638.430553357159	-4.030576361460726	
6	-9639.257222308528	4.3	-9633.422090809752	-5.835131498775237	
7	-9639.257222308528	4.3	-9633.422090809752	-5.835131498775237	
8	-9639.257222308528	4.3	-9633.422090809752	-5.835131498775237	
9	-9639.257222308528	4.3	-9633.422090809752	-5.835131498775237	
10	-9637.247701010125	4.3	-9632.1403270644	-5.107373945724973	
11	-9637.247701010125	4.3	-9632.1403270644	-5.107373945724973	
