"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-9698.63761364748,6.9010208391556,1.24421238247688e-13,13.4410860228929
"2","GTR","relaxed_log_normal","yule",-9691.70533790188,7.44511225994259,0.00000000012750981701244,9.86555145599973
"3","GTR","strict","birth_death",-9707.61558962027,8.00907835150404,1.56967266563016e-17,10.6535375128116
"4","GTR","strict","yule",-9686.24395899557,7.10804049988302,0.0000000300185938640893,11.9954606911418
"5","HKY","relaxed_log_normal","birth_death",-9685.0255864684,6.24414102050328,0.000000101513268321035,11.1433582505533
"6","HKY","relaxed_log_normal","yule",-9676.98042134053,6.17153206730555,0.00031658740392482,6.06589847930809
"7","HKY","strict","birth_death",-9717.68348708182,9.11765530619447,6.65850581854788e-22,8.20228556592951
"8","HKY","strict","yule",-9689.0876995253,7.35321926031169,0.00000000174730824036498,10.558555318343
"9","JC69","relaxed_log_normal","birth_death",-9673.73252303327,6.61112521874615,0.00814775467643771,11.2386110649951
"10","JC69","relaxed_log_normal","yule",-9668.97821503465,5.79075550032447,0.945818214282981,9.43528966275015
"11","JC69","strict","birth_death",-9676.17097839271,6.46687776135044,0.000711263032765735,8.93622187200797
"12","TN93","relaxed_log_normal","birth_death",-9672.02346877828,6.32751282803098,0.0450060373660293,6.23614258265078
"13","TN93","relaxed_log_normal","yule",-9702.23399331703,8.33368193465716,3.41198154801166e-15,10.950667949141
"14","TN93","strict","birth_death",-9688.67751136221,7.38876690519534,0.00000000263337058918972,5.34992101082911
"15","TN93","strict","yule",-9687.6720168512,6.86753263138046,0.0000000071976827180682,11.6188284311717
