Sample	posterior	ESS(posterior)	likelihood	prior	
0	-8152.789356601585	4.0	-8149.527335754788	-3.262020846796857	
1	-8152.789356601585	4.0	-8149.527335754788	-3.262020846796857	
2	-8152.789356601585	4.0	-8149.527335754788	-3.262020846796857	
3	-8152.836886766317	4.1	-8148.5802234140065	-4.2566633523102215	
4	-8152.836886766317	4.1	-8148.5802234140065	-4.2566633523102215	
5	-8152.836886766317	4.1	-8148.5802234140065	-4.2566633523102215	
6	-8151.218788544737	4.3	-8146.569319617046	-4.649468927691571	
7	-8148.3161011569555	4.4	-8144.374963582574	-3.941137574381626	
