#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment" name="distribution" x="@birthRate.t:alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:alignment" name="distribution">
#            <parameter id="ucldStdev.c:alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment" id="treeLikelihood.alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment">
#            <siteModel id="SiteModel.s:alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:alignment" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:alignment">
#                <LogNormal S="@ucldStdev.c:alignment" id="LogNormalDistributionModel.c:alignment" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="18" id="rateCategories.c:alignment" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	YuleModel	birthRate
0	-18277.586775173564	-18270.453708523375	-7.1330666501875255	-18270.453708523375	2.795951228979414	0.1	0.9100345160896042	0.0061461909965153	0.08312381248033246	-7.952430795308327	1.0
1000	-10827.322678711544	-10817.802649349176	-9.520029362367186	-10817.802649349176	1.5659384542657533	0.5022461409215877	0.6638514336700289	0.08967886065097852	0.431382089036548	-8.543068582118572	1.6926958406644876
2000	-10821.462842399073	-10811.432459622221	-10.030382776850722	-10811.432459622221	1.5635791374238863	0.5084955602293997	0.6644669553911685	0.06206012555592365	0.34233638580734893	-9.031364594397044	0.6422188474037734
3000	-10821.641049977126	-10813.569703190651	-8.071346786476145	-10813.569703190651	1.4838816503635064	0.5099647945628589	0.6673165582848215	0.0903497425815406	0.44290093997140434	-7.067153083634601	1.2416785480491896
4000	-10818.588975291226	-10811.887445759805	-6.7015295314221985	-10811.887445759805	1.1881801857235976	0.45458657369670974	0.7773925204771912	0.06572128164521922	0.3136982113357844	-5.89526746000603	1.5227750792788883
5000	-10821.418324287031	-10812.811347229363	-8.606977057667947	-10812.811347229363	1.1927349823760445	0.4720773368294904	0.7516583030414989	0.07427536952842466	0.3482106003364422	-7.737533512506233	0.7007090031575518
6000	-10818.582839929893	-10811.650247731797	-6.93259219809675	-10811.650247731797	1.2818543677667738	0.4617547929658376	0.7572915646693754	0.0823007111612373	0.3701473977725823	-6.1003569966510005	1.3294621259194932
7000	-10825.243142508274	-10816.168458884733	-9.074683623541167	-10816.168458884733	1.490896661905344	0.424636768751678	0.7600801708350794	0.1084210432170285	0.4006543396991754	-8.37822292225473	2.4603599850336
8000	-10829.818720932984	-10823.32046542607	-6.498255506914399	-10823.32046542607	1.2189087745359095	0.39803792659182224	0.807284645528337	0.09840364746773556	0.3703105569907286	-5.901225339971888	1.96288452488525
9000	-10825.679306563534	-10818.620141117088	-7.059165446445398	-10818.620141117088	1.1601559362310012	0.3853871916891462	0.8839554634812522	0.12323941053844886	0.3712658133018192	-6.51013141290967	0.8018512466219169
10000	-10819.709729348946	-10814.27292498297	-5.436804365975885	-10814.27292498297	1.269879368752313	0.34535599173771675	0.8983966754851498	0.08884337450839108	0.3170946517759348	-5.043084835974389	1.6123077565977784
11000	-10817.177107034406	-10812.33344012562	-4.843666908785934	-10812.33344012562	1.1945213074652388	0.3041437279547423	0.9382921174705317	0.0468212875557592	0.22162009158941437	-4.616366634314062	1.442740788511708
12000	-10817.000377187418	-10812.076171483133	-4.92420570428392	-10812.076171483133	1.0019177173881753	0.2830304573768728	0.964602152200726	0.06478649191243982	0.2600210126993284	-4.785314119847232	2.8039173696229063
13000	-10817.223838670505	-10812.786522145336	-4.437316525168616	-10812.786522145336	0.994610181809393	0.33709268683921007	1.001265312922004	0.07729231535127994	0.2660556360723952	-4.076384230774986	2.628607752860554
14000	-10816.827771039721	-10811.689273909222	-5.138497130500072	-10811.689273909222	1.0451769481834923	0.4848415982341447	0.972555549441979	0.1315363806230191	0.36321897828451893	-4.2233473364815906	2.3580317015793444
15000	-10817.341378786645	-10812.075890970144	-5.26548781650214	-10812.075890970144	1.122496638130223	0.44583311964527167	0.8946899459801971	0.09064077534496764	0.32370751919917123	-4.491098410238358	1.9681177351732897
16000	-10823.241853508476	-10816.331455740574	-6.910397767902271	-10816.331455740574	1.2190540226499058	0.36694553872051294	0.8990050967015052	0.06806751144236334	0.2857697932525148	-6.432228705005798	2.6354864132893496
17000	-10816.296698524638	-10811.77940880857	-4.517289716068205	-10811.77940880857	0.9934991949592173	0.3617729961149194	0.9830727680019282	0.13713402187049198	0.39312863476762205	-4.059200958797612	1.4541550583857759
18000	-10830.46621620102	-10823.018428393156	-7.447787807865927	-10823.018428393156	1.0402815691200702	0.3786153126245137	0.8611085166200019	0.09716104643875989	0.35610906805325465	-6.924647745080177	0.7269359578601883
19000	-10818.44743191275	-10813.175287112514	-5.272144800235808	-10813.175287112514	1.1812573951589764	0.29827942245332745	0.8849152937164607	0.0357738466561983	0.2148571928387001	-5.069163967895899	2.1073208074931227
20000	-10818.239014275829	-10814.33954836969	-3.8994659061384294	-10814.33954836969	1.073848773627876	0.22692527214594976	0.9566538923789185	0.02231383299765365	0.15858730250442835	-4.0092028908641275	1.8545666719543044
21000	-10817.056227302068	-10813.36774051794	-3.688486784126642	-10813.36774051794	1.0696334317547278	0.1570189698507669	0.9613657850513256	0.0167614334827509	0.13019245084852782	-4.150816685027451	1.5957358434624087
22000	-10819.664601647677	-10816.645118761393	-3.01948288628419	-10816.645118761393	1.0148156600945037	0.03236111430489985	1.0117969429175975	4.076756680033032E-4	0.019932871555483553	-4.5353876500232575	2.7406062876905244
23000	-10819.283636492506	-10817.217731854193	-2.065904638313514	-10817.217731854193	1.0145523543267052	0.009484825416718846	1.0002217199710057	1.3073870321273675E-4	0.011437059315284385	-4.206743153209941	1.2188009738691161
24000	-10818.00382561456	-10815.348170649939	-2.6556549646218324	-10815.348170649939	1.0238775935433753	0.038178086635697786	0.9916484135967614	0.001355248251295146	0.03707832536176748	-4.080222021896383	2.3349529856390103
25000	-10816.166510344981	-10813.52076100359	-2.645749341391353	-10813.52076100359	0.983999175838998	0.10099144926194584	0.9789445152923244	0.009302568638735513	0.09854931972070997	-3.457975237134691	2.2333978190228545
26000	-10820.405180622618	-10818.273386334571	-2.131794288046933	-10818.273386334571	1.0873473941571359	0.013282998075643255	1.0050541990609587	1.8916068956661682E-4	0.013728184622125146	-4.107628449440791	2.2006136311786073
27000	-10818.829778956762	-10815.654206376597	-3.1755725801656403	-10815.654206376597	1.0507463095643699	0.10058396585570788	0.9762777731326935	0.005313620523419709	0.07415881143132869	-3.9907268595311947	2.0206249103898695
28000	-10818.836795620948	-10816.602432906207	-2.234362714739813	-10816.602432906207	1.0751915343423186	0.03616432463987198	0.9886528071564087	0.0011009250665417402	0.033467079631479046	-3.689151201503925	1.5390700480838995
29000	-10817.750250084971	-10816.385713621885	-1.3645364630861865	-10816.385713621885	1.032342715291343	0.008611823731893259	0.9989084240828823	5.313145955583624E-5	0.007277867271321275	-3.552115803243012	2.187970387743253
30000	-10821.853886470697	-10816.352668013475	-5.501218457222917	-10816.352668013475	1.0780358329980513	0.01382126522020918	1.0030596146081865	1.593243250980793E-4	0.01263285113043426	-7.457354480027673	3.95639143688159
31000	-10815.517652831131	-10812.810990595694	-2.7066622354384346	-10812.810990595694	1.1017583305103809	0.07832066291596007	1.0153785057378488	0.005889676770436121	0.07496213401924319	-3.6952961887107625	1.7683218884353913
32000	-10815.221981021885	-10812.48419995597	-2.7377810659138992	-10812.48419995597	1.020713837130592	0.0869591964858455	1.030067587104233	0.007809683811782331	0.08594419902735301	-3.655624615951964	1.5915887068930092
33000	-10820.201090179877	-10818.07116780802	-2.12992237185526	-10818.07116780802	1.0002037619078223	0.033356201115183504	0.9818705009618888	6.638971625743516E-4	0.026209523348131165	-3.6292777618427507	1.7885114733855436
34000	-10818.12667863788	-10812.852694665502	-5.273983972378792	-10812.852694665502	1.0632038209298886	0.06799809720526043	1.0062102141957077	0.005083313536875236	0.07219973492221049	-6.35471655780115	0.7521527227498942
35000	-10819.886471856933	-10818.149274788184	-1.7371970687482232	-10818.149274788184	0.9429861549640428	0.02663924181330972	1.0039319727004345	6.824583443154317E-4	0.026010241026520817	-3.357665492360281	1.8557554743271027
36000	-10817.143731794788	-10814.64307834625	-2.5006534485383654	-10814.64307834625	0.9482902137102025	0.15918937028325988	1.0963628590493393	0.029398656130895838	0.16016895553111485	-2.9509798708439043	2.0171149948044196
37000	-10816.98898984044	-10813.34887371345	-3.6401161269892914	-10813.34887371345	1.059681147276282	0.22071880865043003	1.01447195419081	0.04903140401941788	0.21777760899584653	-3.7788721125192857	1.9044038122383158
38000	-10816.323010521017	-10813.812436862168	-2.5105736588488217	-10813.812436862168	0.9968668915884742	0.05402681188742842	0.9959930493548746	0.0037545012522694978	0.06108771601715254	-3.733781536241175	1.673910525439056
39000	-10817.90964980816	-10816.10402013	-1.8056296781600238	-10816.10402013	1.0160957869515816	0.010512488347819633	1.0030748918008952	7.961517532982683E-5	0.00891460484296907	-3.896415592078932	1.4211694208230454
40000	-10820.358513507606	-10817.20145872537	-3.1570547822361013	-10817.20145872537	1.0501326444213586	0.12388923051955895	0.9846814433844058	0.02163243368541967	0.14902490781317138	-3.8152394803847542	1.9184614035545506
41000	-10817.626276599538	-10814.982401768179	-2.64387483135955	-10814.982401768179	1.0948948264362608	0.06928901692649753	0.9733590008052369	0.005955509439869676	0.07878921557023992	-3.71256856302603	1.803304118924508
42000	-10817.70314695138	-10814.262475119325	-3.4406718320549534	-10814.262475119325	0.974170218051025	0.12682236072521416	1.030909366991994	0.01982606777942101	0.1380010072753197	-4.080403034481728	1.1702214640912483
43000	-10820.011233320747	-10819.123399304492	-0.8878340162549296	-10819.123399304492	1.007406043549219	0.005154869494285452	0.9987141972365393	2.8954627830612017E-5	0.005388686014293624	-3.3207400051339464	1.891581278023693
44000	-10819.615051033716	-10816.91784748598	-2.697203547736077	-10816.91784748598	1.0044007616535386	0.09985902147081956	0.9995480240913932	0.008916607290752136	0.0936409641224709	-3.51758636633447	1.9705251371366275
45000	-10817.063237126056	-10814.173301711793	-2.889935414263625	-10814.173301711793	0.9710123813446402	0.22423191611863622	1.0867443429697379	0.052391319854019076	0.2130675724055806	-3.0122220498123387	1.7515013205656413
46000	-10815.5020894176	-10811.864715774902	-3.637373642696972	-10811.864715774902	1.0292420865894016	0.16757425391318076	1.016710537275159	0.01623515810215576	0.12613148990610956	-4.042111080613864	2.569861343298309
47000	-10821.51549123642	-10815.545779373104	-5.969711863316231	-10815.545779373104	1.1734858206676937	0.14219050174108386	1.01679311165385	0.02476065577430654	0.1533385814676185	-6.516541083884966	0.7348070812603991
48000	-10819.427800439644	-10814.594165398315	-4.833635041327622	-10814.594165398315	1.2369427901936543	0.22387816970443403	0.9533820966358636	0.038559523750363554	0.19615385325518206	-4.9575748538434405	2.308487955174283
49000	-10818.88144763056	-10814.378075783301	-4.503371847258155	-10814.378075783301	1.0256614026556308	0.2553506740026224	0.8966036077581179	0.049661173885650035	0.23785905876689548	-4.48434226134791	2.3094979754141964
50000	-10820.069482197054	-10814.886587128103	-5.182895068950073	-10814.886587128103	1.088348086748459	0.27362113583048747	0.8466669178297471	0.03993320844751549	0.2235844011659019	-5.084207827611643	2.0973641095855635
51000	-10816.723379713832	-10813.074231957387	-3.6491477564447203	-10813.074231957387	1.1118693759487661	0.17520543621449047	0.9308951593716398	0.02225676816256396	0.1567999846276872	-4.013400215889385	1.6560752605755489
52000	-10817.775361263382	-10816.111390499187	-1.6639707641956463	-10816.111390499187	0.952712399693615	0.018398794426950155	0.9991826602328296	1.864637233391711E-4	0.013639457791356432	-3.476410839863274	1.4902637041123905
53000	-10816.982553068074	-10814.940460956881	-2.042092111192824	-10814.940460956881	1.0580940660550135	0.025719260479676886	0.9999348279490747	3.794404256424808E-4	0.01950424967819704	-3.681150361364919	1.6502673252328068
54000	-10820.274233626867	-10816.79655319008	-3.4776804367870127	-10816.79655319008	1.0043424622848212	0.0024380559280364027	1.0002187539589786	3.4765399748081266E-6	0.0018639457571549031	-6.262420643432089	3.8404302274202817
55000	-10819.889308645386	-10819.057085721728	-0.8322229236573842	-10819.057085721728	1.0416038659112181	0.002496624112816853	1.0003794167000117	5.907711968582374E-6	0.002429913412566688	-3.6058805678817776	1.9832560754122235
