Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-13795.289368627793	-13813.188831215099	N	-13795.289368627793	-17.899462587305006
1	-13359.131625751013	-13372.225604400712	2.0	-13359.131625751013	-13.093978649699014
2	-13308.915224297012	-13323.103432163127	3.0	-13308.915224297012	-14.188207866114283
3	-13084.382012308259	-13096.752832649161	4.0	-13084.382012308259	-12.370820340903082
4	-12884.944246820527	-12902.13995050099	3.2	-12884.944246820527	-17.195703680463268
5	-12797.872988334582	-12809.847042470656	2.7	-12797.872988334582	-11.974054136074269
6	-12449.15602054924	-12458.910656961394	2.7	-12449.15602054924	-9.754636412152882
7	-11304.174623961795	-11312.145842042559	3.5	-11304.174623961795	-7.971218080763942
8	-11230.816598845407	-11239.427374493851	3.1	-11230.816598845407	-8.6107756484438
9	-11171.600976822747	-11178.935924765128	2.6	-11171.600976822747	-7.334947942381172
10	-11164.695854304116	-11172.30373476703	2.6	-11164.695854304116	-7.607880462914778
11	-11116.148925217958	-11121.336080440433	2.4	-11116.148925217958	-5.187155222473853
12	-10968.61549301148	-10976.486819479143	2.3	-10968.61549301148	-7.871326467661939
13	-10968.573436968065	-10979.783275846845	2.4	-10968.573436968065	-11.20983887877936
14	-10929.562333273834	-10942.102337778435	2.4	-10929.562333273834	-12.54000450460098
15	-10890.357593372397	-10896.616771751273	2.5	-10890.357593372397	-6.259178378875612
16	-10879.072525885958	-10885.990930650776	2.7	-10879.072525885958	-6.918404764818502
17	-10870.21953935396	-10876.433819549615	2.8	-10870.21953935396	-6.214280195654389
18	-10861.206148751988	-10869.557074085602	2.9	-10861.206148751988	-8.350925333614924
19	-10852.228723386708	-10858.794930317892	3.2	-10852.228723386708	-6.566206931183496
20	-10808.461967470661	-10814.712106376974	3.3	-10808.461967470661	-6.250138906312542
21	-10806.125158432236	-10813.864803203342	3.4	-10806.125158432236	-7.739644771105043
22	-10792.91699736542	-10798.32022421057	3.5	-10792.91699736542	-5.403226845149449
23	-10792.708160626124	-10798.95030811234	3.6	-10792.708160626124	-6.242147486216676
24	-10792.199621036814	-10799.525155451225	3.8	-10792.199621036814	-7.3255344144103525
25	-10790.94015296873	-10797.12140300679	3.9	-10790.94015296873	-6.1812500380595825
26	-10786.036913971318	-10793.559193128849	4.0	-10786.036913971318	-7.5222791575313295
27	-10778.111379099642	-10784.73134634159	4.1	-10778.111379099642	-6.619967241948034
28	-10775.017045805185	-10782.479215947202	4.2	-10775.017045805185	-7.462170142015782
29	-10770.070639788883	-10776.482716752356	4.7	-10770.070639788883	-6.412076963473062
30	-10768.581078915697	-10774.558411902093	4.8	-10768.581078915697	-5.9773329863971645
31	-10765.979922779528	-10772.919862148248	4.9	-10765.979922779528	-6.939939368719443
32	-10765.943745753084	-10775.28233671019	5.0	-10765.943745753084	-9.338590957105463
33	-10759.94236175794	-10770.00282355495	5.1	-10759.94236175794	-10.060461797010817
34	-10757.497660279152	-10764.10963321988	5.2	-10757.497660279152	-6.611972940727764
35	-10756.61780256673	-10763.355735885785	5.3	-10756.61780256673	-6.7379333190549024
36	-10754.135475374778	-10760.69191143136	5.4	-10754.135475374778	-6.556436056582762
37	-10752.334259742687	-10758.938546946545	5.5	-10752.334259742687	-6.604287203857139
38	-10752.26066721735	-10759.738488984107	5.7	-10752.26066721735	-7.477821766757133
39	-10750.503083839923	-10758.182019293454	6.3	-10750.503083839923	-7.678935453529793
40	-10750.06177403454	-10756.715329279808	6.4	-10750.06177403454	-6.653555245267555
41	-10749.050231941124	-10756.465036863721	6.5	-10749.050231941124	-7.414804922596706
42	-10746.631240485614	-10752.995618762901	6.6	-10746.631240485614	-6.364378277286734
43	-10743.679296917999	-10751.393826715028	6.8	-10743.679296917999	-7.714529797028641
44	-10743.588187622	-10750.091403244089	6.9	-10743.588187622	-6.503215622089824
45	-10743.198637302743	-10749.83601763554	7.0	-10743.198637302743	-6.637380332796981
46	-10743.048489313987	-10749.706714584067	7.1	-10743.048489313987	-6.658225270078965
47	-10742.62339922512	-10749.647219855186	7.2	-10742.62339922512	-7.023820630065182
48	-10742.311339297848	-10748.60352266571	7.3	-10742.311339297848	-6.292183367860415
49	-10742.149458831273	-10748.98830646555	7.9	-10742.149458831273	-6.838847634277334
50	-10742.00854455532	-10748.971447555285	8.0	-10742.00854455532	-6.962902999964573
51	-10741.76657658505	-10748.335569800141	8.1	-10741.76657658505	-6.568993215090424
52	-10741.624559922664	-10748.334968782274	8.2	-10741.624559922664	-6.710408859610229
53	-10741.515835840639	-10749.388742375846	8.3	-10741.515835840639	-7.872906535206798
54	-10741.510565596373	-10748.353792060163	8.4	-10741.510565596373	-6.8432264637904066
55	-10741.481034967446	-10748.03737988824	8.5	-10741.481034967446	-6.556344920792867
56	-10741.479571461212	-10749.017756314426	8.6	-10741.479571461212	-7.538184853213949
57	-10741.389554136484	-10747.934469680358	8.7	-10741.389554136484	-6.544915543874547
58	-10741.323868697895	-10747.757416450433	8.8	-10741.323868697895	-6.433547752538379
59	-10741.300302508907	-10747.682449983211	8.3	-10741.300302508907	-6.382147474304131
60	-10741.209274356235	-10749.468391440092	8.4	-10741.209274356235	-8.25911708385605
61	-10741.177531434318	-10749.168438797113	8.5	-10741.177531434318	-7.990907362794203
62	-10741.016957867903	-10747.379033773692	8.5	-10741.016957867903	-6.362075905789257
