Sample	posterior	ESS(posterior)	likelihood	prior	
0	-10756.715329279808	6.4	-10750.06177403454	-6.653555245267555	
1	-10751.393826715028	6.8	-10743.679296917999	-7.714529797028641	
2	-10751.393826715028	6.8	-10743.679296917999	-7.714529797028641	
3	-10751.393826715028	6.8	-10743.679296917999	-7.714529797028641	
4	-10751.393826715028	6.8	-10743.679296917999	-7.714529797028641	
5	-10750.091403244089	6.9	-10743.588187622	-6.503215622089824	
6	-10750.091403244089	6.9	-10743.588187622	-6.503215622089824	
